ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_0439.00000030,25800000,13600000,23800000,28100000,39900000,35900000,17600000,9779500,7007500,13200000,55500000,65800000,32700000,30600000,39700000,9691700,11400000,29500000,25500000,37200000,29700000,26700000,42100000,32600000,33000000,31500000,28800000,54400000,70600000,22000000,6033000,21600000,55900000,28600000,9543900,4725600,0
TCCM_0155.00000010,10400000,6727600,8424600,18000000,19900000,19800000,11500000,4052300,4284300,4492100,14200000,21200000,15100000,16700000,15700000,7463100,5764400,7061300,7409000,10400000,7905900,12500000,12800000,12400000,16100000,10300000,13200000,22400000,18000000,18100000,6172400,9688700,8819000,5587600,13600000,23300000,1591700
TCCM_0164.00000130,16800000,7874300,35900000,34100000,37100000,32800000,22900000,15900000,16900000,19700000,39600000,42400000,35800000,34500000,26300000,19000000,19700000,33900000,17400000,29300000,25000000,23600000,23100000,36500000,46900000,27400000,22800000,52100000,70300000,16900000,22400000,20900000,22100000,36800000,16000000,19400000,1029400
TCCM_0780.00000030,32800000,40700000,52600000,47700000,45500000,48800000,31400000,12800000,16600000,16800000,37500000,35700000,47900000,35800000,38700000,25500000,21300000,20700000,40900000,21000000,18500000,41000000,59700000,26400000,33300000,57000000,40700000,37500000,28900000,40500000,26000000,41400000,21900000,31200000,25200000,24800000,3577300
TCCM_1000.00000010,27300000,3437600,304060,4936600,50200000,81100000,33600000,22800000,46300000,19400000,149000000,147000000,56500000,39100000,60100000,32100000,37700000,48500000,46700000,76800000,91200000,76900000,83100000,81600000,102000000,55000000,51300000,113000000,114000000,33400000,18400000,61900000,85700000,101000000,17700000,22700000,0
TCCM_0584.00000020,9610700,13700000,21500000,13400000,19300000,42300000,10200000,8610500,6215500,7214500,24900000,49700000,33000000,22300000,9694200,7968600,10300000,14200000,13900000,8327100,14200000,20400000,23900000,30200000,29500000,22100000,20900000,39600000,24200000,21900000,26800000,28300000,14600000,32600000,15700000,15600000,0
TCCM_0151.00000020,10700000,11200000,14900000,22100000,17200000,15500000,8155700,6158700,8337500,7358300,23000000,14900000,14300000,13200000,11200000,8482300,4830200,11600000,7610000,8295200,12500000,11400000,13800000,12600000,16600000,12000000,10700000,19500000,19100000,12700000,12900000,8695900,15500000,11600000,4979000,5234800,1073800
TCCM_0786.00000010,20200000,20400000,9246900,13400000,17600000,18100000,9329600,26600000,33100000,37200000,68000000,55300000,8956200,8932100,5232200,54400000,37800000,81000000,71700000,56800000,80100000,63700000,75300000,65900000,50800000,74000000,46400000,52700000,52700000,1966100,113000000,98100000,71200000,56200000,3700000,0,0
TCCM_0644.00000020,4159000,6574200,8641100,11900000,16100000,11900000,7588000,6542600,9854500,5796400,28900000,24100000,19300000,10100000,5087000,12500000,9729200,16300000,25400000,14200000,11700000,25000000,27400000,21300000,26200000,23500000,27100000,37200000,38200000,8796600,7949700,18200000,12300000,13400000,12300000,11600000,1666200
TCCM_0662.00000040,8780000,7831300,11800000,15800000,20000000,17500000,11500000,4262000,7805200,4053000,17400000,19500000,21600000,13500000,22300000,9363900,7842600,10300000,8880600,13900000,12800000,11300000,13100000,14100000,18000000,15400000,15800000,20200000,22100000,21600000,10100000,12400000,16900000,15100000,4201800,5767400,243010
TCCM_0099.00000050,60700000,103000000,119000000,172000000,175000000,148000000,110000000,43900000,53300000,48700000,293000000,131000000,113000000,112000000,105000000,82300000,60700000,113000000,76400000,129000000,121000000,110000000,151000000,141000000,200000000,136000000,110000000,175000000,236000000,106000000,41200000,107000000,93900000,155000000,60100000,37600000,8148300
TCCM_0501.00000130,5243600,5216600,22200000,24700000,20200000,19800000,11700000,3670200,4640400,4704900,16900000,11100000,13200000,15500000,12600000,5617300,3635000,7266800,5721500,15900000,8303700,11100000,12700000,10200000,12700000,11300000,18400000,20000000,22200000,20800000,17100000,8156200,7024100,11200000,5504500,5947200,68493
TCCM_0989.00000210,25700000,18000000,45100000,67500000,51100000,54800000,44300000,14400000,26000000,16300000,70500000,34200000,61000000,41600000,38500000,27100000,22300000,35200000,18100000,43300000,44500000,23100000,24100000,48800000,53000000,28900000,17700000,62600000,63600000,19600000,15400000,24300000,64900000,46000000,16200000,23500000,3993800
TCCM_0310.00000010,10100000,8502600,13900000,19000000,14000000,16000000,10000000,5635700,9017800,8273900,26700000,32500000,15300000,14000000,15300000,11600000,8238800,17500000,12600000,14100000,15600000,17000000,19200000,28400000,23400000,18300000,16900000,42800000,33400000,8926300,10100000,15300000,31100000,23500000,7574100,8488200,1249800
